Apple ID,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
0,-3.97005,-2.51234,5.34633,-1.01201,1.8449,0.32984,-0.49159,good
1,-1.19522,-2.83926,3.66406,1.58823,0.853286,0.86753,-0.722809,good
2,-0.292024,-1.35128,-1.73843,-0.342616,2.83864,-0.0380333,2.62164,bad
3,-0.657196,-2.27163,1.32487,-0.0978747,3.63797,-3.41376,0.790723,good
4,1.36422,-1.29661,-0.384658,-0.553006,3.03087,-1.30385,0.501984,good
5,-3.4254,-1.40908,-1.91351,-0.555775,-3.85307,1.91462,-2.98152,bad
6,1.33161,1.63596,0.875974,-1.6778,3.10634,-1.84742,2.41417,good
7,-1.99546,-0.428958,1.53064,-0.742972,0.158834,0.974438,-1.47013,good
8,-3.86763,-3.73451,0.986429,-1.20765,2.29287,4.08092,-4.8719,bad
9,-0.727983,-0.44282,-4.09222,0.597513,0.393714,1.62086,2.18561,bad
10,-2.69934,-1.32951,-1.41851,-0.625546,2.37107,3.40316,-2.81081,bad
11,2.45096,-0.564177,-1.63504,0.9424,-2.08732,1.21432,1.29432,good
12,-0.170812,-1.86727,-1.77184,2.41316,-3.09455,-0.624884,-2.07611,bad
13,-1.34553,-1.6237,2.04414,1.75481,0.997567,0.43418,1.72403,good
14,2.83958,-0.344798,-1.0198,0.894581,-1.30006,0.582379,1.70971,good
15,-2.65989,-2.79568,4.2304,0.69755,2.18091,-0.0887754,-1.08362,good
16,-1.46895,-1.95036,-2.21437,0.909759,2.86445,3.96596,-0.558209,bad
17,-0.0743702,-4.71475,0.249768,2.93532,1.40976,-2.64381,1.25097,good
18,-0.302364,1.7244,-2.44234,3.46511,0.449792,-0.0743625,2.49378,bad
19,-2.10805,0.356467,-1.15619,4.32672,1.56154,-4.63017,-1.37666,good
20,-2.33459,-2.94371,-3.45263,0.762392,4.07646,6.34645,0.726776,bad
21,1.17759,-0.721654,-1.38712,7.61985,1.06929,-3.73481,2.64295,good
22,-2.42395,-0.698501,0.14603,0.630106,2.99056,0.779473,3.18419,bad
23,0.135714,-0.753757,-2.19615,1.03928,0.580538,0.227309,2.08662,bad
24,0.522961,-1.42809,-0.743519,1.78672,-4.20754,-1.82523,-1.43043,bad
25,-1.29947,-3.50479,-1.1294,0.555905,-2.80755,1.71463,-3.84664,bad
26,-0.300698,-0.513603,0.921006,1.37817,2.27475,0.745336,-2.93403,good
27,1.99983,0.66999,-2.09962,2.64582,-0.989496,0.37333,-2.39769,bad
28,1.44605,1.65669,-1.77752,1.70896,-0.34167,-1.32244,-1.15813,bad
29,-0.595825,1.53468,-1.76932,0.664502,-0.432874,0.800439,1.64595,bad
30,0.410492,-2.26029,-3.33595,-0.285205,-2.73384,2.58599,-3.03692,bad
31,-2.56087,-0.0964117,2.41377,1.31829,3.27169,-1.79718,-2.63684,good
32,1.68166,-2.98167,-0.0798051,-0.947866,3.03481,-0.708611,1.16697,good
33,-0.588796,-1.12199,2.3243,0.311931,5.14874,-3.35199,5.56011,bad
34,-0.0343679,-1.33281,2.3291,2.86276,0.825239,1.06267,2.30033,good
35,-0.955402,-2.4611,-4.08716,0.839108,1.00322,4.97564,-0.981388,bad
36,-3.06117,0.837104,-1.07664,1.52474,1.76414,-0.0564727,-1.49511,good
37,3.94811,-1.63418,-4.77378,1.93163,0.79054,1.5831,-2.47806,good
38,-1.79672,-3.46923,3.68544,-0.164141,1.3203,1.48011,-2.29296,good
39,1.28674,-2.42952,0.956133,1.47754,4.78638,-3.38236,2.51935,good
40,1.19655,-1.4481,-0.921517,2.00549,0.404741,-0.700779,1.07113,bad
41,-0.35419,-2.02404,1.36698,3.23362,0.992669,1.52561,2.74092,good
42,-1.53861,-2.74784,1.84495,0.491249,-0.425816,1.25977,-1.68092,bad
43,0.807854,0.752707,0.179226,1.45158,-1.61186,-2.77627,0.184906,bad
44,3.93036,2.75441,-2.66795,1.42825,0.0927612,1.09579,2.62727,good
45,0.0334709,-0.044161,-0.481202,4.93721,-0.609873,-3.2315,1.24879,good
46,-0.487367,-0.768805,-0.779232,2.02526,1.47793,0.267788,-4.45457,good
47,-1.38799,2.73851,-2.34922,0.953438,1.86072,2.31731,3.09782,bad
48,-3.32857,0.652577,-1.4244,0.727385,1.57692,2.5778,0.650678,bad
49,-1.10706,2.2612,-2.6352,0.882265,-0.0239954,2.2181,2.86505,bad
50,-2.93862,0.524455,0.802257,-1.47593,-0.336349,1.43065,-2.29888,good
51,-0.411308,-1.7586,-2.21386,-0.149535,1.57618,0.929197,1.41698,bad
52,1.34376,-2.51442,-3.46154,3.84115,0.280515,-0.0254368,0.856229,good
53,1.20545,-1.78351,0.652683,2.44298,1.34691,1.11506,-1.19866,good
54,3.01034,-3.42303,-3.11098,-1.54304,3.56761,1.69623,0.44584,good
55,2.0328,-0.641021,-2.40969,2.93613,1.67548,-0.904589,2.28735,good
56,1.82266,-0.545617,-0.367821,0.252983,-0.789107,2.13591,-3.34396,good
57,1.09849,-1.02037,1.21113,1.26018,-1.0299,2.62274,2.66255,good
58,-0.479883,-0.0791954,-0.843547,3.04957,3.66384,-0.365699,-1.47354,good
59,0.833098,0.449714,-1.63855,-0.631338,2.83091,-0.66886,1.04943,good
60,-3.46416,1.35211,0.458026,0.892747,3.12982,-1.74467,-2.20461,good
61,-4.67414,0.797046,-0.897213,-1.39398,0.49213,3.20171,-0.586287,bad
62,-3.34149,-1.35556,1.43365,1.72236,0.112912,0.688788,1.61918,bad
63,0.455313,-2.3829,-0.83743,-2.36618,-0.27646,0.852335,-0.0311261,good
64,-2.23619,-1.17456,1.4827,-0.277161,1.4976,1.07573,-0.936971,good
65,-3.5679,1.04374,2.5634,0.437277,1.67852,-5.31384,2.07198,good
66,-2.18893,2.13175,0.260841,3.88605,-3.19626,-3.56059,0.0895129,good
67,-1.56976,1.05986,1.51888,1.6661,3.06893,-1.48035,2.76946,bad
68,-1.12906,-0.257836,-1.94224,-0.0209347,-0.724139,2.66211,-0.112473,bad
69,-0.399609,-3.19817,-1.25064,2.90928,-2.31404,-0.231112,-3.02939,bad
70,0.610132,-3.46082,1.33676,0.387452,-0.136781,2.98865,-2.04477,bad
71,2.3544,-2.66027,2.61542,-3.29121,4.60445,-1.24012,3.68958,good
72,0.562851,-1.82799,-4.62224,-0.325735,2.5788,2.48154,1.15277,bad
73,0.0394137,-1.13743,0.477732,1.65648,-3.25623,-0.503584,0.528699,bad
74,-2.15961,-1.29596,-1.73244,0.0807245,-1.95961,2.72304,-1.47788,bad
75,2.16059,-1.60813,-3.14954,1.35426,2.16931,0.561455,1.46604,good
76,2.24978,1.30681,-3.36214,-3.29234,1.53637,2.32269,0.171704,good
77,0.913367,0.238228,-0.866453,0.411079,0.777247,-0.690558,0.269082,bad
78,-2.17807,0.71106,-2.72353,-0.794619,1.37163,2.66167,-1.43802,bad
79,-2.16746,-1.72967,1.29234,2.34303,0.313248,-0.90759,-1.78745,bad
80,1.9069,-0.286557,-0.642276,-0.909687,0.567271,0.447677,2.33128,good
81,-2.45137,-2.46045,3.31056,1.10007,1.66726,-0.0105799,-0.90836,good
82,2.35505,-0.805007,-4.04687,-0.621274,2.72102,1.40361,-1.73512,bad
83,1.41035,-6.23511,0.606679,2.78153,0.188419,-1.65557,1.78747,good
84,1.75627,-2.07825,-1.347,1.57071,0.205595,3.3323,-0.15988,good
85,-0.490314,-2.69359,-2.26293,1.40822,0.89413,4.09705,-1.19298,bad
86,1.88965,-1.23488,-2.00323,1.61822,0.360724,2.71221,0.124914,good
87,0.523551,-0.785293,0.307177,-0.773882,1.22045,-1.3297,1.35549,good
88,-1.44762,-0.400823,-2.01582,0.519148,0.921564,2.63835,-0.529029,bad
89,1.28832,0.118324,-2.03989,1.25421,0.421781,0.273823,0.0643522,bad
90,0.516948,0.643781,-2.75288,1.26594,0.71429,1.04106,-2.96742,good
91,-0.629541,-1.16111,-0.3301,0.93047,2.08749,0.36955,-4.56091,good
92,-0.691713,-2.43134,-0.909664,2.42832,0.242079,2.31358,1.28594,bad
93,-2.09043,-2.26132,3.82271,-0.512141,0.660595,0.663423,-1.71409,good
94,0.0973976,-2.09014,-5.01889,0.173397,1.52466,5.27845,-1.7004,bad
95,1.3726,-0.816191,-1.13803,1.94896,-0.222232,-0.561915,1.65216,good
96,-0.618112,-2.1317,-1.58003,-0.195316,3.62568,3.25931,-1.63364,bad
97,1.80337,-0.976044,-1.54692,0.926305,3.13968,-0.683223,3.40146,good
98,-0.201343,0.579132,-2.12604,3.12928,-4.40185,-0.552628,-2.24997,good
99,-1.15932,0.723172,-0.0402536,-0.748296,0.677957,1.25185,-2.14602,good
100,-1.58138,-0.759501,0.13536,1.88182,1.99805,0.729362,0.286883,good
101,-1.11143,-2.08475,2.51988,0.918004,1.37712,0.937209,-0.894187,good
102,-1.92182,-3.48136,0.441476,1.77752,-0.283584,0.822919,-3.50449,bad
103,-1.96733,0.776151,0.271438,0.695994,2.15787,-0.07003,-1.52126,good
104,-1.57256,-0.00904244,1.96944,1.88446,0.977656,-0.655249,2.12752,bad
105,-0.426619,-1.43684,-0.660814,-0.560818,-1.87193,1.26926,-1.75134,bad
106,-0.725181,-1.44713,1.84099,3.08618,2.22922,0.555091,3.04076,good
107,1.30706,-2.35536,-1.4708,-1.04347,1.8359,0.113931,-0.055334,good
108,0.137098,-3.03508,-0.440601,1.44498,-3.8242,0.850114,-1.61157,bad
109,1.646,-3.02752,0.250956,0.965901,-1.55391,2.08491,-0.474935,bad
110,1.43891,-1.21906,-0.33751,-0.394803,-1.11712,3.08265,-1.74669,good
111,-1.21307,-0.24908,-0.00247836,2.5096,1.49853,0.755574,-0.362617,good
112,1.05151,-4.31198,-1.39905,-2.79121,4.26875,0.501452,1.61099,good
113,-2.03089,-1.64249,-0.55716,0.48127,1.19892,-0.0839935,5.3812,bad
114,-1.7122,-2.52966,-2.06691,0.443359,3.54651,1.02173,5.17017,bad
115,0.104978,-1.60094,-0.787057,2.34569,2.32331,0.530314,1.78969,bad
116,-1.05173,-3.06791,-2.90486,-0.622345,3.70509,3.24198,0.639426,bad
117,-1.44749,-1.13698,-0.836801,1.93246,-1.5121,0.801874,2.6691,bad
118,-3.01013,1.54827,-0.568293,0.209247,2.31704,-1.24223,-2.72746,good
119,-0.591987,-2.61865,-1.07348,1.11468,-2.53637,1.75476,-1.66064,bad
120,-3.83587,-0.838796,1.41286,2.25127,-0.343721,0.946562,1.66132,bad
121,-0.776405,-0.116797,-1.81309,1.24155,-0.577928,1.32588,0.22402,bad
122,-3.2029,-0.849827,-1.10621,0.473819,-0.0234405,2.35629,-1.59075,bad
123,0.695632,-1.66906,-1.44213,2.18904,-2.76706,0.76405,-0.12164,bad
124,0.0897074,-2.24999,-2.67362,2.76221,0.0359696,-0.903597,-1.45613,good
125,-2.22911,-1.09726,3.58992,0.140222,1.56312,-0.161918,-1.33515,good
126,-2.24548,-0.0477014,0.250696,0.771605,2.243,-0.687587,3.37886,bad
127,-3.71553,0.00264157,1.68365,0.0940395,3.19244,-1.0138,4.43609,bad
128,-2.45461,-0.38647,-1.07348,0.914052,1.9254,2.438,0.338914,bad
129,-1.16285,-1.41695,0.440113,2.65394,-0.0956783,-0.950444,3.14587,bad
130,-3.42366,-1.83501,0.794899,-0.557657,4.60623,0.177583,3.76601,bad
131,1.74387,1.63273,-1.2793,2.7588,-2.42021,-0.214932,2.06412,good
132,-2.26753,-0.995608,2.25468,-0.620752,-0.772808,1.33625,-0.320549,good
133,4.42078,-2.54767,-1.75629,0.90181,-0.412841,1.98717,1.61353,good
134,0.132455,-3.03788,-2.46454,1.61923,0.30012,2.11055,-3.40812,bad
135,1.48229,-0.107158,-0.74669,-0.561767,2.99668,-0.907478,2.2884,good
136,0.0197205,-0.591226,-1.73924,0.00120828,0.695053,-0.0184533,1.30726,bad
137,0.263844,-2.89627,-0.157614,-0.184619,-2.8489,0.40466,-3.04217,bad
138,-0.820989,0.934445,-1.33615,2.18383,0.632515,1.42093,2.43475,good
139,0.0310541,0.563083,0.380778,1.30872,0.31711,0.435549,-2.33633,good
140,1.09631,-2.51144,-3.21721,1.95691,-1.50235,2.89281,-0.946009,bad
141,-2.50461,-3.10825,-1.13862,1.00218,-2.20621,1.81162,-3.69278,bad
142,1.25949,-0.557898,-2.57877,-0.48897,2.58122,-0.232605,0.489467,bad
143,-1.08171,-0.128446,0.0929116,2.23528,-0.550943,0.300268,0.638823,bad
144,-1.11742,-1.37933,-1.27443,0.484137,1.47888,1.37251,1.72139,bad
145,-3.57002,-1.55767,0.397888,0.287215,4.26496,1.04641,4.21396,bad
146,1.34856,-2.62931,0.688815,4.57968,3.79394,0.178614,-0.4145,good
147,-1.52895,-2.20577,2.31555,1.34557,3.64453,-0.297463,-2.38693,good
148,1.46031,1.89224,-1.42119,-0.421416,0.514115,0.231571,3.38752,good
149,0.375263,-1.44587,-1.18105,2.60146,2.82729,1.73276,1.60009,good
150,1.18755,-3.48874,-0.0249815,1.05635,2.16724,-1.40785,1.19113,good
151,-2.4629,-0.56298,-2.12861,2.1051,-3.9701,0.64283,-0.268954,bad
152,0.192117,1.36309,-0.104827,-1.51194,-0.659624,2.73716,-0.187721,good
153,-3.80769,0.218192,1.47691,-0.0156621,3.14111,0.216348,3.13373,bad
